PeakID (cmd=annotatePeaks.pl bam_atac.mRp.clN_peaks.narrowPeak dm3_rel78.fa.gz -gid -gtf Drosophila_melanogaster.BDGP5.78.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
bam_atac.mRp.clN_peak_3325	2R	2388186	2389918	+	2001	NA	promoter-TSS (FBgn0086655)	protein_coding-promoter-TSS (FBgn0086655)	32048	FBgn0264506	FBgn0264506	FBtr0332951			CR43905			ncRNA
bam_atac.mRp.clN_peak_11011	3R	12075288	12076519	+	1983	NA	intron (FBgn0040071, intron 1 of 1)	protein_coding-intron (FBgn0040071, intron 1 of 1)	7362	FBgn0040071	FBgn0040071	FBtr0083258			tara			protein_coding
bam_atac.mRp.clN_peak_3309	2R	2285715	2287718	+	1974	NA	Intergenic	Intergenic	134384	FBgn0264506	FBgn0264506	FBtr0332951			CR43905			ncRNA
bam_atac.mRp.clN_peak_11259	3R	13947144	13947854	+	1912	NA	promoter-TSS (FBgn0003499)	protein_coding-promoter-TSS (FBgn0003499)	12784	FBgn0051518	FBgn0051518	FBtr0083545			tRNA:CR31518			tRNA
bam_atac.mRp.clN_peak_14750	X	16110682	16111795	+	1881	NA	promoter-TSS (FBgn0000459)	protein_coding-promoter-TSS (FBgn0000459)	-459	FBgn0000459	FBgn0000459	FBtr0100384			disco			protein_coding
bam_atac.mRp.clN_peak_4352	2R	9317216	9320206	+	1879	NA	promoter-TSS (FBgn0011883)	tRNA-promoter-TSS (FBgn0011883)	-79	FBgn0011883	FBgn0011883	FBtr0087659			tRNA:I:49Fc			tRNA
bam_atac.mRp.clN_peak_7922	3L	14667021	14667861	+	1822	NA	promoter-TSS (FBgn0011928)	tRNA-promoter-TSS (FBgn0011928)	-3	FBgn0011928	FBgn0011928	FBtr0075681			tRNA:M3:70Fb			tRNA
bam_atac.mRp.clN_peak_5973	2R	21145689	21146407	+	1820	NA	Intergenic	Intergenic	5211	FBgn0050428	FBgn0050428	FBtr0072451			CG30428			protein_coding
bam_atac.mRp.clN_peak_7681	3L	12602409	12602889	+	1819	NA	promoter-TSS (FBgn0015919)	protein_coding-promoter-TSS (FBgn0015919)	-82	FBgn0015919	FBgn0015919	FBtr0075909			caup			protein_coding
bam_atac.mRp.clN_peak_9331	3L	24456960	24459197	+	1811	NA	Intergenic	Intergenic	-69111	FBgn0040045	FBgn0040045	FBtr0307117			CR12460			pseudogene
bam_atac.mRp.clN_peak_11087	3R	12589460	12590082	+	1810	NA	promoter-TSS (FBgn0084245)	ncRNA-promoter-TSS (FBgn0084245)	-330	FBgn0084245	FBgn0084245	FBtr0113490			tre-3			ncRNA
bam_atac.mRp.clN_peak_11084	3R	12528517	12528970	+	1784	NA	intron (FBgn0003944, intron 1 of 1)	protein_coding-intron (FBgn0003944, intron 3 of 3)	31605	FBgn0003944	FBgn0003944	FBtr0083350			Ubx			protein_coding
bam_atac.mRp.clN_peak_1874	2L	14490168	14490985	+	1783	NA	promoter-TSS (FBgn0005771)	protein_coding-promoter-TSS (FBgn0005771)	-286	FBgn0005771	FBgn0005771	FBtr0080643			noc			protein_coding
bam_atac.mRp.clN_peak_10276	3R	6439962	6440485	+	1765	NA	promoter-TSS (FBgn0001235)	protein_coding-promoter-TSS (FBgn0001235)	-8831	FBgn0001235	FBgn0001235	FBtr0100455			hth			protein_coding
bam_atac.mRp.clN_peak_12031	3R	19427065	19427821	+	1760	NA	promoter-TSS (FBgn0051143)	tRNA-promoter-TSS (FBgn0051143)	-266	FBgn0051143	FBgn0051143	FBtr0084482			tRNA:CR31143			tRNA
bam_atac.mRp.clN_peak_7181	3L	8668292	8669144	+	1754	NA	promoter-TSS (FBgn0001168)	protein_coding-promoter-TSS (FBgn0001168)	-141	FBgn0001168	FBgn0001168	FBtr0076569			h			protein_coding
bam_atac.mRp.clN_peak_4306	2R	8883716	8885147	+	1745	NA	promoter-TSS (FBgn0008654)	protein_coding-promoter-TSS (FBgn0008654)	425	FBgn0008654	FBgn0008654	FBtr0087793			Su(z)2			protein_coding
bam_atac.mRp.clN_peak_1686	2L	13060067	13060634	+	1740	NA	promoter-TSS (FBgn0262160)	protein_coding-promoter-TSS (FBgn0262160)	-235	FBgn0262160	FBgn0262160	FBtr0089956			CG9932			protein_coding
bam_atac.mRp.clN_peak_4303	2R	8867528	8868854	+	1740	NA	exon (FBgn0005624, exon 1 of 5)	protein_coding-exon (FBgn0005624, exon 1 of 5)	303	FBgn0005624	FBgn0005624	FBtr0087798			Psc			protein_coding
bam_atac.mRp.clN_peak_4904	2R	13279290	13280732	+	1732	NA	promoter-TSS (FBgn0050232)	tRNA-promoter-TSS (FBgn0050232)	291	FBgn0011879	FBgn0011879	FBtr0086908			tRNA:H:56E			tRNA
bam_atac.mRp.clN_peak_5611	2R	18565572	18566275	+	1719	NA	Intergenic	Intergenic	7666	FBgn0034763	FBgn0034763	FBtr0071868			RYBP			protein_coding
bam_atac.mRp.clN_peak_10526	3R	8293435	8294038	+	1716	NA	promoter-TSS (FBgn0013277)	protein_coding-promoter-TSS (FBgn0013277)	-236	FBgn0013277	FBgn0013277	FBtr0082679			Hsp70Ba			protein_coding
bam_atac.mRp.clN_peak_9110	3L	22765904	22767671	+	1714	NA	promoter-TSS (FBgn0052451)	protein_coding-promoter-TSS (FBgn0052451)	13710	FBgn0052451	FBgn0052451	FBtr0302134			SPoCk			protein_coding
bam_atac.mRp.clN_peak_2713	2L	21406382	21407304	+	1708	NA	TTS (FBgn0051754)	pseudogene-TTS (FBgn0051754)	1186	FBgn0051754	FBgn0051754	FBtr0085891			His-Psi:CR31754			pseudogene
bam_atac.mRp.clN_peak_6021	3L	318917	320129	+	1693	NA	exon (FBgn0004373, exon 1 of 12)	protein_coding-exon (FBgn0004373, exon 1 of 12)	361	FBgn0004373	FBgn0004373	FBtr0072517			fwd			protein_coding
bam_atac.mRp.clN_peak_2655	2L	21042075	21042620	+	1693	NA	intron (FBgn0250867, intron 2 of 6)	protein_coding-intron (FBgn0250867, intron 1 of 1)	-10686	FBgn0010395	FBgn0010395	FBtr0081461			betaInt-nu			protein_coding
bam_atac.mRp.clN_peak_4881	2R	13032216	13033730	+	1692	NA	promoter-TSS (FBgn0065047)	snoRNA-promoter-TSS (FBgn0065047)	168	FBgn0050235	FBgn0050235	FBtr0086988			tRNA:CR30235			tRNA
bam_atac.mRp.clN_peak_15080	X	19780634	19782003	+	1692	NA	promoter-TSS (FBgn0052529)	protein_coding-promoter-TSS (FBgn0052529)	2775	FBgn0086782	FBgn0086782	FBtr0074802			amn			protein_coding
bam_atac.mRp.clN_peak_9210	3L	23512819	23516160	+	1666	NA	Intergenic	Intergenic	-34536	FBgn0250816	FBgn0250816	FBtr0301725			AGO3			protein_coding
bam_atac.mRp.clN_peak_3819	2R	5579265	5581244	+	1664	NA	exon (FBgn0023143, exon 1 of 4)	protein_coding-exon (FBgn0023143, exon 1 of 4)	579	FBgn0023143	FBgn0023143	FBtr0310357			Uba1			protein_coding
bam_atac.mRp.clN_peak_8770	3L	20614695	20615313	+	1640	NA	Intergenic	Intergenic	-1245	FBgn0001323	FBgn0001323	FBtr0078212			knrl			protein_coding
bam_atac.mRp.clN_peak_6414	3L	3069913	3071514	+	1633	NA	promoter-TSS (FBgn0035397)	protein_coding-promoter-TSS (FBgn0035397)	126	FBgn0052486	FBgn0052486	FBtr0073004			CG32486			protein_coding
bam_atac.mRp.clN_peak_10985	3R	11923643	11926174	+	1622	NA	promoter-TSS (FBgn0010379)	protein_coding-promoter-TSS (FBgn0010379)	-30	FBgn0010379	FBgn0010379	FBtr0083228			Akt1			protein_coding
bam_atac.mRp.clN_peak_5216	2R	15517966	15520563	+	1606	NA	promoter-TSS (FBgn0003435)	protein_coding-promoter-TSS (FBgn0003435)	-3520	FBgn0261807	FBgn0261807	FBtr0303283			CG42753			protein_coding
bam_atac.mRp.clN_peak_12255	3R	20875462	20876604	+	1605	NA	promoter-TSS (FBgn0039266)	protein_coding-promoter-TSS (FBgn0039266)	-30	FBgn0039266	FBgn0039266	FBtr0113283			CG11791			protein_coding
bam_atac.mRp.clN_peak_9589	3R	1425373	1427178	+	1605	NA	promoter-TSS (FBgn0250753)	protein_coding-promoter-TSS (FBgn0250753)	-880	FBgn0037347	FBgn0037347	FBtr0333279			CG1427			protein_coding
bam_atac.mRp.clN_peak_751	2L	5907045	5908412	+	1600	NA	intron (FBgn0043362, intron 1 of 17)	protein_coding-intron (FBgn0043362, intron 1 of 17)	559	FBgn0043362	FBgn0043362	FBtr0079144			bchs			protein_coding
bam_atac.mRp.clN_peak_3192	2R	1613939	1614911	+	1599	NA	promoter-TSS (FBgn0000099)	protein_coding-promoter-TSS (FBgn0000099)	-9871	FBgn0000099	FBgn0000099	FBtr0300504			ap			protein_coding
bam_atac.mRp.clN_peak_11498	3R	15662262	15662816	+	1589	NA	promoter-TSS (FBgn0014135)	protein_coding-promoter-TSS (FBgn0014135)	0	FBgn0014135	FBgn0014135	FBtr0300123			bnl			protein_coding
bam_atac.mRp.clN_peak_9530	3R	1076503	1077587	+	1579	NA	intron (FBgn0260462, intron 1 of 1)	protein_coding-intron (FBgn0260462, intron 1 of 4)	423	FBgn0260462	FBgn0260462	FBtr0303994			CG12163			protein_coding
bam_atac.mRp.clN_peak_4060	2R	7176486	7177552	+	1575	NA	TTS (FBgn0033610)	protein_coding-TTS (FBgn0033610)	234	FBgn0033609	FBgn0033609	FBtr0088178			fbl6			protein_coding
bam_atac.mRp.clN_peak_1715	2L	13244117	13245572	+	1544	NA	promoter-TSS (FBgn0003935)	snRNA-promoter-TSS (FBgn0003935)	-4	FBgn0003935	FBgn0003935	FBtr0080451			snRNA:U5:34A			snRNA
bam_atac.mRp.clN_peak_5184	2R	15301292	15303106	+	1538	NA	promoter-TSS (FBgn0028981)	tRNA-promoter-TSS (FBgn0028981)	96	FBgn0028981	FBgn0028981	FBtr0086526			tRNA:S4:56D			tRNA
bam_atac.mRp.clN_peak_13	2L	66435	67514	+	1537	NA	promoter-TSS (FBgn0067779)	protein_coding-promoter-TSS (FBgn0067779)	390	FBgn0067779	FBgn0067779	FBtr0306538			dbr			protein_coding
bam_atac.mRp.clN_peak_5359	2R	16790883	16791330	+	1533	NA	promoter-TSS (FBgn0015524)	protein_coding-promoter-TSS (FBgn0015524)	-206	FBgn0015524	FBgn0015524	FBtr0110772			otp			protein_coding
bam_atac.mRp.clN_peak_5022	2R	14243415	14245474	+	1529	NA	exon (FBgn0010575, exon 1 of 12)	protein_coding-exon (FBgn0010575, exon 1 of 12)	357	FBgn0010575	FBgn0010575	FBtr0329996			sbb			protein_coding
bam_atac.mRp.clN_peak_2966	2R	207436	208174	+	1518	NA	Intergenic	Intergenic	-77361	FBgn0262117	FBgn0262117	FBtr0111269			IntS3			protein_coding
bam_atac.mRp.clN_peak_50	2L	297422	298555	+	1500	NA	TTS (FBgn0024352)	protein_coding-TTS (FBgn0024352)	108	FBgn0020622	FBgn0020622	FBtr0331207			Pi3K21B			protein_coding
bam_atac.mRp.clN_peak_10728	3R	10066874	10067694	+	1492	NA	intron (FBgn0262983, intron 1 of 2)	protein_coding-intron (FBgn0262983, intron 1 of 2)	3115	FBgn0262983	FBgn0262983	FBtr0306819			CG43291			protein_coding
bam_atac.mRp.clN_peak_9285	3L	24101072	24102279	+	1470	NA	intron (FBgn0011288, intron 2 of 6)	protein_coding-intron (FBgn0011288, intron 2 of 7)	34346	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_9579	3R	1372675	1373576	+	1453	NA	TTS (FBgn0014342)	protein_coding-TTS (FBgn0014342)	365	FBgn0037336	FBgn0037336	FBtr0078762			CG2519			protein_coding
bam_atac.mRp.clN_peak_3404	2R	2879682	2880894	+	1445	NA	promoter-TSS (FBgn0050159)	protein_coding-promoter-TSS (FBgn0050159)	97	FBgn0050159	FBgn0050159	FBtr0089760			CG30159			protein_coding
bam_atac.mRp.clN_peak_780	2L	6088245	6089449	+	1444	NA	intron (FBgn0028420, intron 1 of 3)	protein_coding-intron (FBgn0028420, intron 1 of 3)	-2722	FBgn0028420	FBgn0028420	FBtr0290297			Kr-h1			protein_coding
bam_atac.mRp.clN_peak_588	2L	4810202	4812477	+	1441	NA	Intergenic	Intergenic	-1670	FBgn0031630	FBgn0031630	FBtr0077383			CG15629			protein_coding
bam_atac.mRp.clN_peak_9786	3R	2826340	2826912	+	1436	NA	Intergenic	Intergenic	-51431	FBgn0024289	FBgn0024289	FBtr0081627			Sodh-1			protein_coding
bam_atac.mRp.clN_peak_14267	X	9587786	9588286	+	1433	NA	promoter-TSS (FBgn0000233)	protein_coding-promoter-TSS (FBgn0000233)	-185	FBgn0000233	FBgn0000233	FBtr0071379			btd			protein_coding
bam_atac.mRp.clN_peak_4927	2R	13422679	13424130	+	1432	NA	promoter-TSS (FBgn0034237)	protein_coding-promoter-TSS (FBgn0034237)	-33	FBgn0263197	FBgn0263197	FBtr0086948			Patronin			protein_coding
bam_atac.mRp.clN_peak_13032	3R	26738149	26738589	+	1429	NA	promoter-TSS (FBgn0020912)	protein_coding-promoter-TSS (FBgn0020912)	-241	FBgn0020912	FBgn0020912	FBtr0089390			Ptx1			protein_coding
bam_atac.mRp.clN_peak_11623	3R	16716304	16717810	+	1427	NA	promoter-TSS (FBgn0051333)	tRNA-promoter-TSS (FBgn0051333)	213	FBgn0051334	FBgn0051334	FBtr0083976			tRNA:CR31334			tRNA
bam_atac.mRp.clN_peak_3278	2R	2106996	2109441	+	1416	NA	promoter-TSS (FBgn0263144)	protein_coding-promoter-TSS (FBgn0263144)	-326	FBgn0263144	FBgn0263144	FBtr0085993			bin3			protein_coding
bam_atac.mRp.clN_peak_7889	3L	14402551	14404086	+	1413	NA	promoter-TSS (FBgn0003459)	protein_coding-promoter-TSS (FBgn0003459)	-279	FBgn0003459	FBgn0003459	FBtr0333041			stwl			protein_coding
bam_atac.mRp.clN_peak_9798	3R	2948122	2950676	+	1413	NA	promoter-TSS (FBgn0037472)	protein_coding-promoter-TSS (FBgn0037472)	-873	FBgn0037472	FBgn0037472	FBtr0081563			CG10098			protein_coding
bam_atac.mRp.clN_peak_4967	2R	13709721	13710229	+	1408	NA	intron (FBgn0259211, intron 3 of 13)	protein_coding-intron (FBgn0259211, intron 3 of 12)	-1095	FBgn0259211	FBgn0259211	FBtr0300540			grh			protein_coding
bam_atac.mRp.clN_peak_11213	3R	13542722	13544332	+	1399	NA	intron (FBgn0261885, intron 1 of 15)	protein_coding-intron (FBgn0261885, intron 1 of 15)	532	FBgn0261885	FBgn0261885	FBtr0301487			osa			protein_coding
bam_atac.mRp.clN_peak_3923	2R	6325413	6326141	+	1399	NA	promoter-TSS (FBgn0001122)	protein_coding-promoter-TSS (FBgn0001122)	-884	FBgn0033523	FBgn0033523	FBtr0088314			CG12895			protein_coding
bam_atac.mRp.clN_peak_1056	2L	8030661	8031739	+	1392	NA	TTS (FBgn0031977)	protein_coding-TTS (FBgn0031977)	479	FBgn0044323	FBgn0044323	FBtr0079539			Cka			protein_coding
bam_atac.mRp.clN_peak_13369	4	886783	887842	+	1384	NA	intron (FBgn0039936, intron 1 of 8)	protein_coding-intron (FBgn0039936, intron 1 of 8)	340	FBgn0039936	FBgn0039936	FBtr0300886			CG11148			protein_coding
bam_atac.mRp.clN_peak_10128	3R	5376310	5377772	+	1381	NA	promoter-TSS (FBgn0037707)	protein_coding-promoter-TSS (FBgn0037707)	19	FBgn0037705	FBgn0037705	FBtr0082118			mura			protein_coding
bam_atac.mRp.clN_peak_8449	3L	18178682	18179532	+	1378	NA	promoter-TSS (FBgn0003997)	protein_coding-promoter-TSS (FBgn0003997)	-366	FBgn0003997	FBgn0003997	FBtr0332862			W			protein_coding
bam_atac.mRp.clN_peak_4505	2R	10345504	10345950	+	1371	NA	promoter-TSS (FBgn0261613)	protein_coding-promoter-TSS (FBgn0261613)	22323	FBgn0261613	FBgn0261613	FBtr0302926			Oaz			protein_coding
bam_atac.mRp.clN_peak_8962	3L	21872220	21873986	+	1367	NA	intron (FBgn0262737, intron 1 of 10)	protein_coding-intron (FBgn0262737, intron 1 of 8)	7036	FBgn0264470	FBgn0264470	FBtr0332737			CR43878			ncRNA
bam_atac.mRp.clN_peak_9104	3L	22734228	22735817	+	1354	NA	promoter-TSS (FBgn0010830)	protein_coding-promoter-TSS (FBgn0010830)	129	FBgn0037188	FBgn0037188	FBtr0078530			CG7369			protein_coding
bam_atac.mRp.clN_peak_3293	2R	2186068	2187587	+	1349	NA	Intergenic	Intergenic	53786	FBgn0033075	FBgn0033075	FBtr0114492			Pld			protein_coding
bam_atac.mRp.clN_peak_312	2L	2450843	2451951	+	1338	NA	exon (FBgn0000490, exon 1 of 3)	protein_coding-exon (FBgn0000490, exon 1 of 3)	-3642	FBgn0000490	FBgn0000490	FBtr0310007			dpp			protein_coding
bam_atac.mRp.clN_peak_2785	2L	22024310	22024804	+	1332	NA	TTS (FBgn0028979)	protein_coding-TTS (FBgn0028979)	4522	FBgn0028979	FBgn0028979	FBtr0089377			tio			protein_coding
bam_atac.mRp.clN_peak_8494	3L	18752148	18752714	+	1327	NA	intron (FBgn0001078, intron 1 of 7)	protein_coding-intron (FBgn0001078, intron 3 of 9)	6413	FBgn0001078	FBgn0001078	FBtr0075087			ftz-f1			protein_coding
bam_atac.mRp.clN_peak_3947	2R	6421626	6423056	+	1321	NA	promoter-TSS (FBgn0005630)	protein_coding-promoter-TSS (FBgn0005630)	242	FBgn0005630	FBgn0005630	FBtr0089362			lola			protein_coding
bam_atac.mRp.clN_peak_3280	2R	2122862	2123789	+	1319	NA	exon (FBgn0263144, exon 3 of 7)	protein_coding-exon (FBgn0263144, exon 3 of 7)	-9716	FBgn0033075	FBgn0033075	FBtr0114492			Pld			protein_coding
bam_atac.mRp.clN_peak_12109	3R	19856683	19857894	+	1318	NA	promoter-TSS (FBgn0020647)	protein_coding-promoter-TSS (FBgn0020647)	-626	FBgn0039139	FBgn0039139	FBtr0084532			Ime4			protein_coding
bam_atac.mRp.clN_peak_11864	3R	18221977	18223605	+	1314	NA	promoter-TSS (FBgn0051166)	tRNA-promoter-TSS (FBgn0051166)	-189	FBgn0051162	FBgn0051162	FBtr0084233			tRNA:CR31162			tRNA
bam_atac.mRp.clN_peak_10690	3R	9808963	9809839	+	1313	NA	promoter-TSS (FBgn0264493)	protein_coding-promoter-TSS (FBgn0264493)	11946	FBgn0263414	FBgn0263414	FBtr0309198			CR43460			ncRNA
bam_atac.mRp.clN_peak_6029	3L	377380	378484	+	1310	NA	promoter-TSS (FBgn0262139)	protein_coding-promoter-TSS (FBgn0262139)	-616	FBgn0262139	FBgn0262139	FBtr0333902			trh			protein_coding
bam_atac.mRp.clN_peak_9393	3R	278032	279705	+	1308	NA	exon (FBgn0263620, exon 1 of 2)	ncRNA-exon (FBgn0263620, exon 1 of 2)	208	FBgn0263620	FBgn0263620	FBtr0309986			CR43629			ncRNA
bam_atac.mRp.clN_peak_12819	3R	25381760	25382424	+	1300	NA	promoter-TSS (FBgn0000492)	protein_coding-promoter-TSS (FBgn0000492)	-17	FBgn0000492	FBgn0000492	FBtr0085441			Dr			protein_coding
bam_atac.mRp.clN_peak_1124	2L	8402981	8404077	+	1294	NA	promoter-TSS (FBgn0020497)	protein_coding-promoter-TSS (FBgn0020497)	-46	FBgn0020497	FBgn0020497	FBtr0079663			emb			protein_coding
bam_atac.mRp.clN_peak_10966	3R	11798162	11800325	+	1290	NA	promoter-TSS (FBgn0002783)	protein_coding-promoter-TSS (FBgn0002783)	223	FBgn0022787	FBgn0022787	FBtr0301715			Hel89B			protein_coding
bam_atac.mRp.clN_peak_11237	3R	13769123	13770143	+	1290	NA	promoter-TSS (FBgn0263995)	protein_coding-promoter-TSS (FBgn0263995)	-195	FBgn0263995	FBgn0263995	FBtr0330280			cpo			protein_coding
bam_atac.mRp.clN_peak_10497	3R	8106459	8106981	+	1290	NA	promoter-TSS (FBgn0003651)	protein_coding-promoter-TSS (FBgn0003651)	-154	FBgn0003651	FBgn0003651	FBtr0331183			svp			protein_coding
bam_atac.mRp.clN_peak_4839	2R	12743623	12745016	+	1287	NA	promoter-TSS (FBgn0263462)	snoRNA-promoter-TSS (FBgn0263462)	593	FBgn0026533	FBgn0026533	FBtr0100437			Dek			protein_coding
bam_atac.mRp.clN_peak_9921	3R	4007166	4007708	+	1286	NA	promoter-TSS (FBgn0001138)	protein_coding-promoter-TSS (FBgn0001138)	-273	FBgn0001138	FBgn0001138	FBtr0330188			grn			protein_coding
bam_atac.mRp.clN_peak_3256	2R	2007516	2008513	+	1284	NA	intron (FBgn0000546, intron 4 of 7)	protein_coding-intron (FBgn0000546, intron 3 of 6)	11332	FBgn0000546	FBgn0000546	FBtr0086011			EcR			protein_coding
bam_atac.mRp.clN_peak_1022	2L	7827672	7829175	+	1283	NA	intron (FBgn0004177, intron 1 of 3)	protein_coding-intron (FBgn0004177, intron 1 of 3)	680	FBgn0004177	FBgn0004177	FBtr0079525			mts			protein_coding
bam_atac.mRp.clN_peak_4516	2R	10413660	10414833	+	1282	NA	exon (FBgn0020245, exon 1 of 10)	protein_coding-exon (FBgn0020245, exon 1 of 10)	-11533	FBgn0033942	FBgn0033942	FBtr0087514			Cpr51A			protein_coding
bam_atac.mRp.clN_peak_6419	3L	3095620	3096707	+	1280	NA	promoter-TSS (FBgn0052287)	tRNA-promoter-TSS (FBgn0052287)	172	FBgn0052289	FBgn0052289	FBtr0073019			tRNA:CR32289			tRNA
bam_atac.mRp.clN_peak_268	2L	2130185	2131094	+	1278	NA	promoter-TSS (FBgn0004507)	protein_coding-promoter-TSS (FBgn0004507)	-176	FBgn0004507	FBgn0004507	FBtr0100485			GlyP			protein_coding
bam_atac.mRp.clN_peak_9280	3L	24061875	24063050	+	1275	NA	Intergenic	Intergenic	-4867	FBgn0011288	FBgn0011288	FBtr0304626			Snap25			protein_coding
bam_atac.mRp.clN_peak_9473	3R	777416	778488	+	1274	NA	intron (FBgn0004436, intron 1 of 2)	protein_coding-intron (FBgn0004436, intron 1 of 2)	177	FBgn0004436	FBgn0004436	FBtr0306106			UbcD6			protein_coding
bam_atac.mRp.clN_peak_6986	3L	7426706	7428764	+	1269	NA	exon (FBgn0014011, exon 1 of 1)	protein_coding-exon (FBgn0014011, exon 1 of 1)	555	FBgn0014011	FBgn0014011	FBtr0076867			Rac2			protein_coding
bam_atac.mRp.clN_peak_8038	3L	15547117	15548070	+	1268	NA	intron (FBgn0087035, intron 1 of 6)	protein_coding-intron (FBgn0087035, intron 2 of 7)	-2330	FBgn0087035	FBgn0087035	FBtr0331933			AGO2			protein_coding
bam_atac.mRp.clN_peak_951	2L	7306859	7307535	+	1266	NA	promoter-TSS (FBgn0004009)	protein_coding-promoter-TSS (FBgn0004009)	36	FBgn0004009	FBgn0004009	FBtr0079432			wg			protein_coding
